南京在哪里 | 在这里了
咋死???红烧还是爆炒 | 哦了哦了哦了,咱聊点别的吧
你个小骚货，哥哥的巴操你爽不爽？ | 不要这样说嘛！很不文明哦
额麻麻怎么会有那玩意儿 | 无法理解您的话，获取帮助请发送 help
孩纸,新年快乐 | {r+}同乐同乐，大家一起乐~
拿尿冲一冲 | 今天这天气很适合聊天的说
那重点是什么 | 好话不分轻重！
在上一条我回复你,你怎么不回复我 | 我也要思考啊，不能随便回你话吧，那会让你觉得菲菲好笨的
章子怡新宠 | 夜曲小三
求勾引 | 如果你来勾引我，我一定假装上当！
说不粗来 | 乱什么呢?
喜欢毛线 | 最喜欢毛鸭子了，又乖又听话就象我一样！
祝胡子润生日快乐成年happy | 祝你生日快乐。
刚才还说女生 | 刚才是刚才，现在是现在，世事都是会变的
起来 | 不起床就会变成一个大胖纸
这年头都搞基 | 看窗外~
唐杰不爱我了 | 傻瓜不会的啦
那我请你吃kfc | 去你家吃？菲菲这么漂亮，会不会被你老婆赶出来
比尔盖茨 | 距就系顶顶大名的五邑潮流之城噶代言人
你个小黄毛,怎么说话 | {face:8}好无聊哦,我都快睡着了，聊的什么呀
是我的错,没给你吃药 | 错了应该对我说什么？不用道歉？